highest_education,employment_status,repayment_status,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,overall_experience_with_loan_process,gender_female,gender_male,marital_status_divorced,marital_status_married,marital_status_single,marital_status_widowed,region_0,region_1,school_0,school_1,school_2,school_3,loan_purpose_0,loan_purpose_1,loan_purpose_2,repayment_info_source_0,repayment_info_source_1,repayment_info_source_2,repayment_info_source_3,repayment_method_0,repayment_method_1,repayment_method_2,over_under_milion_0,over_under_milion_1,discipline_0,discipline_1,discipline_2
3,0,0,2,1,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
3,0,0,0,1,1,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
3,0,0,3,4,4,3,4,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1
3,0,0,3,4,4,3,4,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1
0,0,0,3,4,4,3,4,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1
0,0,0,3,4,4,3,4,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1
2,0,0,3,4,4,3,4,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
3,0,0,3,4,4,3,4,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1
0,0,0,3,4,4,3,4,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
2,0,0,2,2,0,2,1,0.0,1.0,0.0,0.0,0.0,1.0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
0,0,1,1,1,2,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1
0,0,2,0,0,2,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1
0,3,1,1,1,2,1,1,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1
3,2,2,1,1,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
0,0,2,2,2,2,1,1,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
0,0,0,3,4,0,2,1,1.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0
0,2,1,4,3,3,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0
0,0,2,2,2,2,1,1,0.0,1.0,0.0,1.0,0.0,0.0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
3,0,0,2,0,0,1,1,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
